OTU	Mix2	Mix4	Mix5	Mix6	Mix8
seq3550	0	1	2	0	0
seq3551	0	0	2	2	0
seq3556	0	1	1	0	0
seq3562	0	0	1	1	0
seq3564	0	1	1	0	1
seq3577	0	2	1	0	1
seq3579	0	1	1	0	0
seq358	1	0	0	1	0
seq3581	0	1	1	0	0
seq3584	0	0	1	2	0
seq3587	0	0	1	1	0
seq359	1	1	0	0	0
seq3590	0	0	1	1	0
seq3594	0	1	1	0	0
seq3595	0	0	1	1	0
seq3599	0	1	1	1	0
seq36	1	2	0	1	2
seq3603	0	1	1	0	0
seq3604	0	1	1	0	0
seq361	1	1	0	0	0
seq3617	0	1	2	2	0
seq3618	0	2	1	1	0
seq3627	0	1	1	0	0
seq3633	0	0	1	0	1
seq3635	0	2	1	0	2
seq3637	0	2	1	1	0
seq3640	0	3	1	0	0
seq3645	0	0	2	0	0
seq3646	0	1	1	0	0
seq3650	0	2	1	0	1
seq3654	0	0	1	1	0
seq3655	0	0	1	1	0
seq3660	0	2	1	0	0
seq3662	0	0	1	1	0
seq3666	0	0	1	1	0
seq367	1	0	0	0	1
seq3676	0	8	1	0	0
seq368	2	2	0	0	0
seq3685	0	0	2	0	0
seq3692	0	1	1	0	0
seq3696	0	0	1	1	1
seq3701	0	0	1	1	0
seq371	2	0	0	0	0
seq3711	0	2	1	0	0
seq3718	0	1	1	0	0
seq372	3	1	0	0	0
seq373	1	2	0	0	1
seq3733	0	0	1	0	1
seq3736	0	2	1	0	1
seq3738	0	3	1	0	0
seq3746	0	0	1	1	0
seq376	2	1	0	0	0
seq3772	0	2	1	0	0
seq3774	0	1	1	0	0
seq3780	0	0	1	0	1
seq3783	0	0	1	0	1
seq3784	0	0	2	0	0
seq3789	0	0	2	0	0
seq3791	0	3	2	0	0
seq3799	0	1	1	0	0
seq380	3	0	0	1	0
seq3803	0	1	1	0	0
seq3810	0	0	2	0	0
seq3823	0	1	1	0	0
seq3825	0	0	1	0	2
seq383	1	0	1	0	0
seq3838	0	1	1	0	0
seq384	3	1	0	0	0
seq3844	0	8	1	2	1
seq3845	0	0	2	1	0
seq3854	0	0	1	1	0
seq3855	0	0	1	1	0
seq3862	0	0	1	2	0
seq3866	0	0	1	0	1
seq3867	0	1	1	0	0
seq3868	0	1	1	0	0
seq387	2	2	0	0	0
seq3875	0	0	1	1	0
seq3887	0	0	1	4	3
seq3888	0	0	1	1	1
seq389	2	0	0	0	0
seq3904	0	0	1	1	0
seq3907	0	4	2	0	0
seq3910	0	1	2	0	0
seq3916	0	0	1	1	0
seq3917	0	2	1	0	0
seq3918	0	1	1	0	0
seq392	1	1	0	0	0
seq3921	0	1	1	0	1
seq3923	0	0	1	1	1
seq3929	0	1	1	0	0
seq393	2	0	1	0	0
seq3935	0	0	1	0	1
seq3940	0	1	1	0	0
seq3948	0	1	1	0	1
seq395	1	0	1	0	0
seq3956	0	0	1	1	0
seq396	3	0	1	0	0
seq3964	0	0	1	0	1
seq397	2	0	0	0	0
seq398	1	1	0	0	0
seq3982	0	0	1	0	1
seq4	166	67	33	18	9
seq40	181	133	58	15	31
seq400	1	0	0	0	1
seq401	6	3	1	1	0
seq4013	0	1	1	0	0
seq402	1	1	0	0	0
seq4022	0	1	1	1	0
seq4026	0	1	1	0	0
seq403	2	2	0	0	0
seq4036	0	2	1	1	0
seq404	2	1	0	0	0
seq4041	0	1	2	0	0
seq405	3	1	0	0	0
seq406	23	11	4	2	7
seq4069	0	0	1	2	0
seq4071	0	1	1	0	0
seq4075	0	1	1	0	0
seq4077	0	0	1	2	0
seq4093	0	0	0	422	311
seq4095	0	0	0	2	0
seq4098	0	0	0	84	54
seq41	230	119	59	20	22
seq4103	0	0	0	1	1
seq4112	0	0	0	2	0
seq4130	0	0	0	3	0
seq4131	0	1	0	2	0
seq4138	0	0	0	3	1
seq4148	0	0	0	4	3
seq4151	0	0	0	1	1
seq4166	0	0	0	2	1
seq4167	0	1	0	1	0
seq4171	0	0	0	3	0
seq4185	0	0	0	2	1
seq4193	0	0	0	2	2
seq4196	0	1	0	1	0
seq4198	0	0	0	2	0
seq422	1	1	0	0	0
seq4222	0	2	0	1	0
seq4223	0	0	0	2	0
seq4224	0	1	0	1	1
seq4225	0	0	0	2	0
seq4226	0	0	0	2	1
seq4227	0	0	0	1	1
seq4232	0	0	0	1	1
seq424	1	0	1	0	0
seq4246	0	1	0	1	0
seq4255	0	0	0	2	0
seq4259	0	0	0	2	0
seq4263	0	0	0	3	0
seq4275	0	1	0	1	0
seq4286	0	0	0	2	0
seq429	1	1	0	0	0
seq4298	0	0	0	3	0
seq4301	0	0	0	1	1
seq4304	0	1	0	2	0
seq4308	0	4	0	1	0
seq4311	0	1	0	1	0
seq4319	0	0	0	1	1
seq4325	0	0	0	2	2
seq433	1	1	0	0	0
seq4333	0	2	0	1	0
seq4340	0	0	0	1	1
seq4341	0	0	0	1	1
seq4347	0	0	0	2	0
seq435	2	0	0	2	0
